Price,Currency,Location,Rooms,Area,Floor
140 000,AZN,İnşaatçılar m.,2 otaqlı,50 m²,4/5 mərtəbə
414 000,AZN,Gənclik m.,3 otaqlı,140.8 m²,15/17 mərtəbə
235 000,AZN,28 May m.,3 otaqlı,70 m²,6/6 mərtəbə
335 000,AZN,Nəsimi r.,3 otaqlı,150 m²,4/17 mərtəbə
159 000,AZN,Həzi Aslanov m.,2 otaqlı,76 m²,11/16 mərtəbə
125 000,AZN,Gənclik m.,2 otaqlı,35 m²,5/5 mərtəbə
295 000,AZN,Nizami m.,3 otaqlı,115 m²,14/16 mərtəbə
650 000,AZN,28 May m.,3 otaqlı,106 m²,6/25 mərtəbə
285 000,AZN,Nəriman Nərimanov m.,3 otaqlı,90 m²,15/18 mərtəbə
118 000,AZN,Avtovağzal m.,2 otaqlı,68.5 m²,5/15 mərtəbə
218 000,AZN,Neftçilər m.,2 otaqlı,98.3 m²,12/18 mərtəbə
125 000,AZN,Bakıxanov q.,3 otaqlı,60 m²,2/5 mərtəbə
138 000,AZN,Avtovağzal m.,2 otaqlı,89.1 m²,9/16 mərtəbə
230 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,102 m²,15/24 mərtəbə
110 000,AZN,Masazır q.,3 otaqlı,90 m²,3/7 mərtəbə
204 000,AZN,Yasamal r.,3 otaqlı,90 m²,9/9 mərtəbə
166 000,AZN,Bakıxanov q.,3 otaqlı,91 m²,12/14 mərtəbə
420 000,AZN,Elmlər Akademiyası m.,3 otaqlı,119.1 m²,11/18 mərtəbə
1 200 000,AZN,Gənclik m.,5 otaqlı,300 m²,4/9 mərtəbə
179 000,AZN,20 Yanvar m.,2 otaqlı,70 m²,4/16 mərtəbə
130 000,AZN,Lökbatan q.,4 otaqlı,92 m²,4/5 mərtəbə
145 000,AZN,Bayıl q.,3 otaqlı,160 m²,6/6 mərtəbə
421 000,AZN,Nəsimi r.,4 otaqlı,171 m²,7/17 mərtəbə
225 000,AZN,Qaraçuxur q.,3 otaqlı,110 m²,12/14 mərtəbə
400 000,AZN,Nərimanov r.,3 otaqlı,145 m²,6/17 mərtəbə
218 000,AZN,Nəsimi r.,2 otaqlı,69 m²,18/22 mərtəbə
200 000,AZN,Həzi Aslanov m.,3 otaqlı,125 m²,18/19 mərtəbə
197 000,AZN,Nəsimi r.,2 otaqlı,66 m²,12/17 mərtəbə
140 948,AZN,20 Yanvar m.,2 otaqlı,66.8 m²,12/14 mərtəbə
159 000,AZN,Nizami m.,2 otaqlı,54 m²,5/14 mərtəbə
248 000,AZN,Memar Əcəmi m.,4 otaqlı,122.7 m²,9/11 mərtəbə
72 000,AZN,Masazır q.,2 otaqlı,60 m²,2/13 mərtəbə
93 000,AZN,Zabrat q.,4 otaqlı,112 m²,5/6 mərtəbə
185 000,AZN,Əhmədli m.,3 otaqlı,80 m²,2/9 mərtəbə
229 000,AZN,8 Noyabr m.,3 otaqlı,95 m²,14/16 mərtəbə
163 000,AZN,Memar Əcəmi m.,3 otaqlı,85 m²,8/9 mərtəbə
237 000,AZN,Nəsimi r.,2 otaqlı,68 m²,14/18 mərtəbə
89 000,AZN,Biləcəri q.,3 otaqlı,47 m²,4/5 mərtəbə
358 000,AZN,Nəsimi r.,3 otaqlı,126 m²,9/16 mərtəbə
270 000,AZN,Gənclik m.,3 otaqlı,90 m²,3/20 mərtəbə
374 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,143 m²,6/13 mərtəbə
165 000,AZN,Həzi Aslanov m.,3 otaqlı,75 m²,9/9 mərtəbə
135 000,AZN,20 Yanvar m.,3 otaqlı,45 m²,11/20 mərtəbə
249 000,AZN,Gənclik m.,2 otaqlı,80 m²,2/8 mərtəbə
249 900,AZN,Gənclik m.,3 otaqlı,90 m²,3/9 mərtəbə
319 000,AZN,İçəri Şəhər m.,3 otaqlı,120 m²,17/17 mərtəbə
2 450 000,AZN,Nəsimi r.,7 otaqlı,430 m²,2/16 mərtəbə
230 000,AZN,Gənclik m.,2 otaqlı,60 m²,12/16 mərtəbə
450 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,160 m²,12/18 mərtəbə
295 000,AZN,Nəriman Nərimanov m.,3 otaqlı,80 m²,15/17 mərtəbə
410 000,AZN,28 May m.,3 otaqlı,157 m²,7/12 mərtəbə
174 000,AZN,20 Yanvar m.,4 otaqlı,90 m²,7/9 mərtəbə
208 000,AZN,Memar Əcəmi m.,3 otaqlı,80 m²,2/13 mərtəbə
133 000,AZN,Əhmədli m.,2 otaqlı,74 m²,18/20 mərtəbə
148 000,AZN,Əhmədli m.,3 otaqlı,63 m²,5/9 mərtəbə
370 000,AZN,Elmlər Akademiyası m.,3 otaqlı,86 m²,5/18 mərtəbə
305 000,AZN,Gənclik m.,3 otaqlı,140 m²,10/16 mərtəbə
430 000,AZN,Nizami m.,3 otaqlı,174 m²,9/22 mərtəbə
239 000,AZN,8-ci mikrorayon q.,3 otaqlı,80 m²,6/10 mərtəbə
242 000,AZN,Xətai r.,3 otaqlı,102 m²,6/16 mərtəbə
392 000,AZN,Nəsimi r.,4 otaqlı,159 m²,11/17 mərtəbə
235 000,AZN,8 Noyabr m.,2 otaqlı,110 m²,7/18 mərtəbə
135 000,AZN,Həzi Aslanov m.,2 otaqlı,61 m²,20/20 mərtəbə
128 000,AZN,20 Yanvar m.,3 otaqlı,45 m²,5/5 mərtəbə
755 000,AZN,Elmlər Akademiyası m.,4 otaqlı,190 m²,7/18 mərtəbə
225 000,AZN,Şah İsmayıl Xətai m.,2 otaqlı,96 m²,6/21 mərtəbə
358 000,AZN,Nəsimi r.,3 otaqlı,126 m²,9/16 mərtəbə
495 000,AZN,Gənclik m.,3 otaqlı,165 m²,8/12 mərtəbə
155 000,AZN,Binəqədi r.,2 otaqlı,45.7 m²,4/5 mərtəbə
310 000,AZN,Azadlıq Prospekti m.,3 otaqlı,100 m²,9/16 mərtəbə
175 000,AZN,Əhmədli m.,3 otaqlı,100 m²,16/16 mərtəbə
475 000,AZN,Nizami m.,4 otaqlı,178 m²,12/16 mərtəbə
205 000,AZN,Gənclik m.,2 otaqlı,52 m²,4/16 mərtəbə
220 000,AZN,Əhmədli m.,4 otaqlı,120 m²,9/16 mərtəbə
97 000,AZN,Xalqlar Dostluğu m.,2 otaqlı,35 m²,3/5 mərtəbə
320 000,AZN,Nəriman Nərimanov m.,3 otaqlı,147.5 m²,15/17 mərtəbə
320 000,AZN,Nəsimi r.,3 otaqlı,133 m²,3/16 mərtəbə
142 000,AZN,Qara Qarayev m.,2 otaqlı,55 m²,9/17 mərtəbə
302 000,AZN,Nəriman Nərimanov m.,4 otaqlı,100 m²,12/16 mərtəbə
320 000,AZN,8 Noyabr m.,3 otaqlı,137 m²,15/17 mərtəbə
176 000,AZN,Qara Qarayev m.,2 otaqlı,72 m²,2/16 mərtəbə
135 000,AZN,Nəriman Nərimanov m.,1 otaqlı,40 m²,3/16 mərtəbə
368 000,AZN,8 Noyabr m.,3 otaqlı,147.5 m²,27/27 mərtəbə
240 000,AZN,28 May m.,3 otaqlı,139.3 m²,8/16 mərtəbə
92 000,AZN,Hövsan q.,3 otaqlı,67 m²,4/7 mərtəbə
345 000,AZN,8-ci kilometr q.,3 otaqlı,129 m²,10/19 mərtəbə
329 035,AZN,Nardaran q.,1 otaqlı,55.3 m²,5/7 mərtəbə
339 000,AZN,Nəriman Nərimanov m.,3 otaqlı,94 m²,16/17 mərtəbə
93 000,AZN,Qara Qarayev m.,1 otaqlı,39 m²,5/16 mərtəbə
114 000,AZN,Köhnə Günəşli q.,2 otaqlı,60 m²,1/9 mərtəbə
140 000,AZN,Gənclik m.,2 otaqlı,34 m²,7/16 mərtəbə
325 000,AZN,Nəriman Nərimanov m.,3 otaqlı,128 m²,12/16 mərtəbə
105 000,AZN,Neftçilər m.,1 otaqlı,40 m²,3/5 mərtəbə
307 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,126 m²,7/17 mərtəbə
129 000,AZN,İnşaatçılar m.,2 otaqlı,50 m²,7/14 mərtəbə
390 000,AZN,Nəsimi r.,4 otaqlı,172 m²,5/20 mərtəbə
335 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,130 m²,13/14 mərtəbə
345 000,AZN,8 Noyabr m.,3 otaqlı,140 m²,7/11 mərtəbə
395 000,AZN,Nəsimi r.,4 otaqlı,150 m²,12/15 mərtəbə
1 230 000,AZN,Nəsimi r.,4 otaqlı,205 m²,11/17 mərtəbə
220 000,AZN,Nizami m.,2 otaqlı,61 m²,3/6 mərtəbə
495 000,AZN,Nəsimi r.,4 otaqlı,195 m²,8/16 mərtəbə
234 800,AZN,Azadlıq Prospekti m.,3 otaqlı,85 m²,4/9 mərtəbə
690 000,AZN,Gənclik m.,3 otaqlı,143.9 m²,15/17 mərtəbə
178 000,AZN,Neftçilər m.,2 otaqlı,76 m²,14/18 mərtəbə
369 000,AZN,Gənclik m.,3 otaqlı,130 m²,12/16 mərtəbə
165 000,AZN,Həzi Aslanov m.,2 otaqlı,80 m²,7/14 mərtəbə
215 000,AZN,Nərimanov r.,2 otaqlı,68 m²,10/15 mərtəbə
290 000,AZN,8 Noyabr m.,4 otaqlı,130 m²,16/20 mərtəbə
370 000,AZN,Nəriman Nərimanov m.,3 otaqlı,120 m²,5/16 mərtəbə
90 000,AZN,Əmircan q.,2 otaqlı,52 m²,3/5 mərtəbə
280 000,AZN,İnşaatçılar m.,3 otaqlı,103 m²,9/16 mərtəbə
595 000,AZN,Ağ şəhər q.,4 otaqlı,161 m²,14/20 mərtəbə
510 000,AZN,Nizami r.,3 otaqlı,148 m²,9/19 mərtəbə
196 000,AZN,Neftçilər m.,3 otaqlı,87.8 m²,2/14 mərtəbə
205 000,AZN,Qara Qarayev m.,3 otaqlı,95 m²,5/17 mərtəbə
164 000,AZN,Yeni Yasamal q.,3 otaqlı,93 m²,2/14 mərtəbə
64 000,AZN,Hövsan q.,1 otaqlı,39 m²,1/7 mərtəbə
220 000,AZN,İnşaatçılar m.,3 otaqlı,150 m²,11/18 mərtəbə
150 000,AZN,Masazır q.,3 otaqlı,90 m²,4/7 mərtəbə
220 000,AZN,Nizami m.,2 otaqlı,54 m²,7/15 mərtəbə
180 000,AZN,Nizami r.,2 otaqlı,94 m²,11/12 mərtəbə
425 000,AZN,Nəsimi r.,4 otaqlı,236 m²,4/16 mərtəbə
209 000,AZN,Nizami m.,2 otaqlı,74 m²,3/14 mərtəbə
160 000,AZN,Bayıl q.,2 otaqlı,65 m²,4/17 mərtəbə
750 000,AZN,Elmlər Akademiyası m.,4 otaqlı,220 m²,12/22 mərtəbə
180 000,AZN,Qara Qarayev m.,2 otaqlı,75 m²,9/16 mərtəbə
245 000,AZN,Elmlər Akademiyası m.,2 otaqlı,65 m²,8/8 mərtəbə
235 000,AZN,Nəsimi m.,3 otaqlı,120 m²,7/17 mərtəbə
76 000,AZN,Masazır q.,2 otaqlı,60.5 m²,10/13 mərtəbə
385 000,AZN,Nəsimi r.,3 otaqlı,132 m²,8/17 mərtəbə
370 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,130 m²,15/18 mərtəbə
330 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,130 m²,15/20 mərtəbə
120 000,AZN,Elmlər Akademiyası m.,2 otaqlı,43 m²,10/12 mərtəbə
307 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,138 m²,7/16 mərtəbə
450 000,AZN,28 May m.,3 otaqlı,200 m²,3/16 mərtəbə
207 000,AZN,Nardaran q.,1 otaqlı,58 m²,6/7 mərtəbə
375 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,140 m²,10/18 mərtəbə
310 000,AZN,Memar Əcəmi m.,4 otaqlı,120 m²,10/17 mərtəbə
129 000,AZN,Əhmədli m.,2 otaqlı,60 m²,7/9 mərtəbə
310 000,AZN,Elmlər Akademiyası m.,3 otaqlı,111 m²,17/20 mərtəbə
400 000,AZN,8 Noyabr m.,3 otaqlı,145 m²,14/27 mərtəbə
165 000,AZN,Həzi Aslanov m.,3 otaqlı,80 m²,6/6 mərtəbə
574 955,AZN,28 May m.,4 otaqlı,194.9 m²,4/16 mərtəbə
125 000,AZN,Həzi Aslanov m.,2 otaqlı,65 m²,8/9 mərtəbə
295 000,AZN,Nərimanov r.,4 otaqlı,110 m²,7/9 mərtəbə
268 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,80 m²,15/17 mərtəbə
215 000,AZN,Xətai r.,3 otaqlı,110 m²,5/20 mərtəbə
254 000,AZN,Nəriman Nərimanov m.,2 otaqlı,85 m²,12/18 mərtəbə
197 000,AZN,Qara Qarayev m.,3 otaqlı,107 m²,16/16 mərtəbə
124 500,AZN,Yasamal r.,2 otaqlı,48 m²,4/16 mərtəbə
310 000,AZN,Yasamal r.,3 otaqlı,107 m²,25/27 mərtəbə
175 000,AZN,Gənclik m.,2 otaqlı,70 m²,4/9 mərtəbə
450 000,AZN,Ağ şəhər q.,3 otaqlı,107 m²,3/5 mərtəbə
119 500,AZN,Nizami m.,2 otaqlı,46 m²,5/5 mərtəbə
165 000,AZN,Bakıxanov q.,3 otaqlı,75 m²,5/9 mərtəbə
263 000,AZN,Ağ şəhər q.,2 otaqlı,63 m²,14/20 mərtəbə
149 000,AZN,Nəriman Nərimanov m.,1 otaqlı,60 m²,15/15 mərtəbə
69 800,AZN,Masazır q.,3 otaqlı,60 m²,2/4 mərtəbə
518 000,AZN,Ağ şəhər q.,3 otaqlı,157 m²,14/20 mərtəbə
66 000,AZN,Masazır q.,2 otaqlı,58 m²,5/11 mərtəbə
351 000,AZN,28 May m.,3 otaqlı,135 m²,7/16 mərtəbə
295 000,AZN,Gənclik m.,3 otaqlı,112 m²,10/16 mərtəbə
624 132,AZN,28 May m.,4 otaqlı,231.2 m²,14/18 mərtəbə
209 000,AZN,Nəsimi r.,1 otaqlı,55 m²,3/16 mərtəbə
273 600,AZN,Nəsimi r.,2 otaqlı,72 m²,9/16 mərtəbə
205 000,AZN,Şah İsmayıl Xətai m.,2 otaqlı,67 m²,8/18 mərtəbə
409 500,AZN,Nəsimi r.,4 otaqlı,130 m²,4/16 mərtəbə
511 635,AZN,Nardaran q.,3 otaqlı,136.8 m²,4/7 mərtəbə
92 000,AZN,Masazır q.,3 otaqlı,83 m²,1/6 mərtəbə
198 000,AZN,Nəriman Nərimanov m.,2 otaqlı,55 m²,11/16 mərtəbə
120 000,AZN,Bayıl q.,2 otaqlı,40 m²,1/1 mərtəbə
830 000,AZN,Ağ şəhər q.,5 otaqlı,220 m²,14/20 mərtəbə
410 760,AZN,Nəsimi r.,3 otaqlı,146.7 m²,4/16 mərtəbə
432 765,AZN,Nəsimi r.,3 otaqlı,146.7 m²,8/16 mərtəbə
202 000,AZN,İnşaatçılar m.,2 otaqlı,81 m²,6/12 mərtəbə
359 100,AZN,Nəsimi r.,2 otaqlı,94.5 m²,8/16 mərtəbə
572 299,AZN,Nəsimi r.,4 otaqlı,194 m²,7/16 mərtəbə
562 600,AZN,Nəsimi r.,4 otaqlı,194 m²,6/16 mərtəbə
397 590,AZN,Nəsimi r.,3 otaqlı,137.1 m²,15/16 mərtəbə
190 000,AZN,Həzi Aslanov m.,2 otaqlı,88 m²,8/17 mərtəbə
320 000,AZN,Nəsimi r.,3 otaqlı,103 m²,12/18 mərtəbə
300 000,AZN,Qara Qarayev m.,3 otaqlı,120 m²,15/17 mərtəbə
370 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,141 m²,10/21 mərtəbə
280 000,AZN,Əhmədli m.,3 otaqlı,145 m²,13/17 mərtəbə
880 000,AZN,Ağ şəhər q.,4 otaqlı,185 m²,12/20 mərtəbə
155 000,AZN,Xətai r.,3 otaqlı,115 m²,19/21 mərtəbə
141 000,AZN,Memar Əcəmi m.,2 otaqlı,55 m²,4/5 mərtəbə
250 000,AZN,28 May m.,3 otaqlı,162 m²,15/15 mərtəbə
303 725,AZN,28 May m.,3 otaqlı,121.5 m²,4/16 mərtəbə
167 000,AZN,Nərimanov r.,2 otaqlı,60 m²,6/16 mərtəbə
130 000,AZN,Yeni Günəşli q.,3 otaqlı,68 m²,3/12 mərtəbə
135 000,AZN,Yasamal r.,2 otaqlı,70 m²,3/16 mərtəbə
524 944,AZN,28 May m.,4 otaqlı,187.5 m²,7/16 mərtəbə
155 000,AZN,İnşaatçılar m.,2 otaqlı,80 m²,3/11 mərtəbə
164 000,AZN,Xalqlar Dostluğu m.,2 otaqlı,80 m²,13/15 mərtəbə
220 000,AZN,Nərimanov r.,2 otaqlı,70 m²,10/17 mərtəbə
388 160,AZN,28 May m.,3 otaqlı,121.3 m²,7/16 mərtəbə
465 000,AZN,Həzi Aslanov q.,4 otaqlı,200 m²,16/20 mərtəbə
654 007,AZN,Ağ şəhər q.,3 otaqlı,103.6 m²,4/7 mərtəbə
200 000,AZN,Nəsimi r.,2 otaqlı,42 m²,3/10 mərtəbə
133 000,AZN,Həzi Aslanov m.,2 otaqlı,74 m²,7/13 mərtəbə
260 000,AZN,Gənclik m.,3 otaqlı,134 m²,4/17 mərtəbə
195 000,AZN,5-ci mikrorayon q.,3 otaqlı,80 m²,4/6 mərtəbə
148 000,AZN,Yasamal q.,2 otaqlı,62 m²,10/12 mərtəbə
230 000,AZN,Əhmədli q.,4 otaqlı,140 m²,14/16 mərtəbə
368 000,AZN,8 Noyabr m.,3 otaqlı,148 m²,27/27 mərtəbə
147 000,AZN,Əhmədli m.,3 otaqlı,76 m²,5/9 mərtəbə
328 000,AZN,20 Yanvar m.,3 otaqlı,123 m²,4/8 mərtəbə
190 000,AZN,Qara Qarayev m.,3 otaqlı,85 m²,4/5 mərtəbə
270 000,AZN,İnşaatçılar m.,3 otaqlı,130 m²,5/11 mərtəbə
900 000,AZN,Gənclik m.,6 otaqlı,340 m²,14/18 mərtəbə
212 000,AZN,Nərimanov r.,2 otaqlı,58 m²,12/17 mərtəbə
159 000,AZN,Memar Əcəmi m.,3 otaqlı,80 m²,2/9 mərtəbə
624 510,AZN,Nərimanov r.,4 otaqlı,231.3 m²,4/17 mərtəbə
275 000,AZN,Yasamal r.,3 otaqlı,148 m²,3/19 mərtəbə
264 141,AZN,Nərimanov r.,2 otaqlı,97.8 m²,4/17 mərtəbə
92 000,AZN,Bakıxanov q.,1 otaqlı,40 m²,8/9 mərtəbə
305 850,AZN,Nəriman Nərimanov m.,4 otaqlı,122.3 m²,9/14 mərtəbə
530 000,AZN,28 May m.,5 otaqlı,249 m²,5/15 mərtəbə
248 280,AZN,Nərimanov r.,2 otaqlı,103.5 m²,5/14 mərtəbə
110 000,AZN,Qara Qarayev m.,1 otaqlı,35 m²,3/4 mərtəbə
390 000,AZN,Nəriman Nərimanov m.,3 otaqlı,113 m²,7/16 mərtəbə
303 600,AZN,Nərimanov r.,3 otaqlı,126.5 m²,5/14 mərtəbə
100 000,AZN,Nəsimi r.,2 otaqlı,50 m²,18/18 mərtəbə
500 410,AZN,Nizami m.,3 otaqlı,163 m²,14/16 mərtəbə
178 000,AZN,Biləcəri q.,2 otaqlı,72.1 m²,3/15 mərtəbə
215 000,AZN,8 Noyabr m.,2 otaqlı,80 m²,2/14 mərtəbə
210 775,AZN,Nərimanov r.,2 otaqlı,84.3 m²,8/14 mərtəbə
103 000,AZN,Əhmədli m.,2 otaqlı,55 m²,9/9 mərtəbə
520 000,AZN,Nəsimi r.,4 otaqlı,174 m²,5/17 mərtəbə
253 000,AZN,Gənclik m.,2 otaqlı,92 m²,11/17 mərtəbə
130 000,AZN,Neftçilər m.,2 otaqlı,55 m²,2/5 mərtəbə
146 000,AZN,Memar Əcəmi m.,2 otaqlı,53 m²,9/16 mərtəbə
288 000,AZN,Nəriman Nərimanov m.,3 otaqlı,89 m²,14/14 mərtəbə
162 000,AZN,Elmlər Akademiyası m.,2 otaqlı,58 m²,4/4 mərtəbə
485 000,AZN,Elmlər Akademiyası m.,4 otaqlı,185 m²,8/18 mərtəbə
189 500,AZN,Həzi Aslanov q.,3 otaqlı,87.1 m²,15/16 mərtəbə
155 000,AZN,Neftçilər m.,2 otaqlı,62 m²,11/14 mərtəbə
287 000,AZN,Ağ şəhər q.,2 otaqlı,75 m²,6/6 mərtəbə
205 000,AZN,Yeni Günəşli q.,3 otaqlı,115 m²,7/15 mərtəbə
188 726,AZN,Yasamal q.,3 otaqlı,95.8 m²,2/14 mərtəbə
285 000,AZN,Nərimanov r.,3 otaqlı,105 m²,12/16 mərtəbə
24 000,AZN,Masazır q.,2 otaqlı,48 m²,2/9 mərtəbə
262 500,AZN,Xətai r.,2 otaqlı,79 m²,16/17 mərtəbə
162 000,AZN,3-cü mikrorayon q.,2 otaqlı,48 m²,7/18 mərtəbə
288 000,AZN,Şah İsmayıl Xətai m.,2 otaqlı,78 m²,13/20 mərtəbə
204 000,AZN,Badamdar q.,3 otaqlı,86 m²,4/7 mərtəbə
337 000,AZN,28 May m.,3 otaqlı,135 m²,10/16 mərtəbə
270 000,AZN,Nərimanov r.,3 otaqlı,137 m²,2/18 mərtəbə
147 000,AZN,Elmlər Akademiyası m.,2 otaqlı,60 m²,11/25 mərtəbə
149 000,AZN,20 Yanvar m.,2 otaqlı,68 m²,3/9 mərtəbə
330 000,AZN,Nərimanov r.,5 otaqlı,190 m²,14/15 mərtəbə
735 000,AZN,Nizami m.,4 otaqlı,157 m²,9/18 mərtəbə
120 000,AZN,Həzi Aslanov m.,2 otaqlı,52 m²,4/9 mərtəbə
370 650,AZN,Yasamal r.,3 otaqlı,123.5 m²,6/14 mərtəbə
292 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,106.3 m²,16/17 mərtəbə
243 000,AZN,Həzi Aslanov m.,3 otaqlı,95 m²,6/16 mərtəbə
216 500,AZN,Azadlıq Prospekti m.,2 otaqlı,88 m²,11/17 mərtəbə
185 000,AZN,Nəriman Nərimanov m.,2 otaqlı,65 m²,11/16 mərtəbə
329 999,AZN,Nəriman Nərimanov m.,3 otaqlı,148.8 m²,9/18 mərtəbə
209 000,AZN,Elmlər Akademiyası m.,2 otaqlı,74 m²,15/23 mərtəbə
659 000,AZN,İçəri Şəhər m.,5 otaqlı,256 m²,5/15 mərtəbə
260 000,AZN,Şah İsmayıl Xətai m.,2 otaqlı,79 m²,6/17 mərtəbə
190 000,AZN,Xətai r.,3 otaqlı,92 m²,16/17 mərtəbə
261 000,AZN,Elmlər Akademiyası m.,2 otaqlı,94 m²,5/17 mərtəbə
120 000,AZN,Həzi Aslanov m.,2 otaqlı,63 m²,5/9 mərtəbə
585 000,AZN,28 May m.,4 otaqlı,200 m²,13/18 mərtəbə
135 000,AZN,Həzi Aslanov m.,3 otaqlı,60 m²,6/9 mərtəbə
358 000,AZN,Nəsimi r.,3 otaqlı,126 m²,9/16 mərtəbə
303 000,AZN,Ağ şəhər q.,2 otaqlı,90 m²,2/7 mərtəbə
550 000,AZN,Xətai r.,3 otaqlı,100 m²,3/7 mərtəbə
169 000,AZN,Neftçilər m.,2 otaqlı,91 m²,15/17 mərtəbə
229 500,AZN,Ağ şəhər q.,2 otaqlı,51 m²,2/7 mərtəbə
316 000,AZN,Nərimanov r.,4 otaqlı,135 m²,13/14 mərtəbə
299 000,AZN,Qara Qarayev m.,3 otaqlı,120 m²,15/17 mərtəbə
328 000,AZN,Ağ şəhər q.,3 otaqlı,83 m²,7/7 mərtəbə
749 000,AZN,Ağ şəhər q.,3 otaqlı,120 m²,16/20 mərtəbə
165 000,AZN,Neftçilər m.,2 otaqlı,67 m²,15/18 mərtəbə
225 000,AZN,İnşaatçılar m.,2 otaqlı,100 m²,16/18 mərtəbə
185 000,AZN,Xalqlar Dostluğu m.,3 otaqlı,120 m²,14/19 mərtəbə
212 000,AZN,Qaradağ r.,3 otaqlı,136.6 m²,14/14 mərtəbə
155 000,AZN,Xətai r.,3 otaqlı,115 m²,19/21 mərtəbə
360 000,AZN,8 Noyabr m.,3 otaqlı,148 m²,27/27 mərtəbə
99 000,AZN,Massiv V q.,2 otaqlı,45 m²,4/9 mərtəbə
